wavelength,RSR_Rrs_400,RSR_Rrs_412.5,RSR_Rrs_442.5,RSR_Rrs_490,RSR_Rrs_510,RSR_Rrs_560,RSR_Rrs_620,RSR_Rrs_665,RSR_Rrs_673.75,RSR_Rrs_681.25,RSR_Rrs_708.75,RSR_Rrs_753.75,RSR_Rrs_761.25,RSR_Rrs_764.375,RSR_Rrs_767.5,RSR_Rrs_778.75,RSR_Rrs_865,RSR_Rrs_885,RSR_Rrs_900,RSR_Rrs_940,RSR_Rrs_1020
818,,,,,,,,,,,,,,,,,,,,,
819,,,,,,,,,,,,,,,,,,,,,
820,,,,,,,,,,,,,,,,,,,,,
821,,,,,,,,,,,,,,,,,,,,,
822,,,,,,,,,,,,,,,,,,,,,
823,,,,,,,,,,,,,,,,,,,,,
824,,,,,,,,,,,,,,,,,,,,,
825,,,,,,,,,,,,,,,,,,,,,
826,,,,,,,,,,,,,,,,,,,,,
827,,,,,,,,,,,,,,,,,,,,,
828,,,,,,,,,,,,,,,,,,,,,
829,,,,,,,,,,,,,,,,,,,,,
830,,,,,,,,,,,,,,,,,,,,,
831,,,,,,,,,,,,,,,,,,,,,
832,,,,,,,,,,,,,,,,,,,,,
833,,,,,,,,,,,,,,,,,,,,,
834,,,,,,,,,,,,,,,,,,,,,
835,,,,,,,,,,,,,,,,,,,,,
836,,,,,,,,,,,,,,,,,,,,,
837,,,,,,,,,,,,,,,,,,,,,
838,,,,,,,,,,,,,,,,,,,,,
839,,,,,,,,,,,,,,,,,,,,,
840,,,,,,,,,,,,,,,,,,,,,
841,,,,,,,,,,,,,,,,,,,,,
842,,,,,,,,,,,,,,,,,,,,,
843,,,,,,,,,,,,,,,,,,,,,
844,,,,,,,,,,,,,,,,,,,,,
845,,,,,,,,,,,,,,,,,,,,,
846,,,,,,,,,,,,,,,,,,,,,
847,,,,,,,,,,,,,,,,,,,,,
848,,,,,,,,,,,,,,,,,,,,,
849,,,,,,,,,,,,,,,,,,,,,
850,,,,,,,,,,,,,,,,,,,,,
851,,,,,,,,,,,,,,,,,,,,,
852,,,,,,,,,,,,,,,,,0.000000824,,,,
853,,,,,,,,,,,,,,,,,0.000225339,,,,
854,,,,,,,,,,,,,,,,,0.0164021,,,,
855,,,,,,,,,,,,,,,,,0.254914,,,,
856,,,,,,,,,,,,,,,,,0.817768,,,,
857,,,,,,,,,,,,,,,,,0.991573,,,,
858,,,,,,,,,,,,,,,,,0.995458,,,,
859,,,,,,,,,,,,,,,,,0.993013,,,,
860,,,,,,,,,,,,,,,,,0.992366,,,,
861,,,,,,,,,,,,,,,,,0.990004,,,,
862,,,,,,,,,,,,,,,,,0.984823,,,,
863,,,,,,,,,,,,,,,,,0.979547,,,,
864,,,,,,,,,,,,,,,,,0.976933,,,,
865,,,,,,,,,,,,,,,,,0.975537,,,,
866,,,,,,,,,,,,,,,,,0.97136,,,,
867,,,,,,,,,,,,,,,,,0.963818,,,,
