wavelength,RSR_Rrs_380,RSR_Rrs_412,RSR_Rrs_443,RSR_Rrs_490,RSR_Rrs_510,RSR_Rrs_555,RSR_Rrs_620,RSR_Rrs_660,RSR_Rrs_680,RSR_Rrs_709,RSR_Rrs_745,RSR_Rrs_865
878,,,,,,,,,,,,0.767425085
879,,,,,,,,,,,,0.769225214
880,,,,,,,,,,,,0.750512234
881,,,,,,,,,,,,0.71520712
882,,,,,,,,,,,,0.693493572
883,,,,,,,,,,,,0.655258179
884,,,,,,,,,,,,0.51838623
885,,,,,,,,,,,,0.345027977
886,,,,,,,,,,,,0.146591043
887,,,,,,,,,,,,0.059248757
888,,,,,,,,,,,,0.02309302
889,,,,,,,,,,,,0.008591015
890,,,,,,,,,,,,0.003170411
891,,,,,,,,,,,,0.000669936
892,,,,,,,,,,,,0.000352043
893,,,,,,,,,,,,0.000100995
894,,,,,,,,,,,,0
895,,,,,,,,,,,,0
896,,,,,,,,,,,,0
897,,,,,,,,,,,,0
898,,,,,,,,,,,,0
899,,,,,,,,,,,,0.0000522
900,,,,,,,,,,,,0.000111811
901,,,,,,,,,,,,0.000120018
902,,,,,,,,,,,,0.000031
903,,,,,,,,,,,,
904,,,,,,,,,,,,
905,,,,,,,,,,,,
906,,,,,,,,,,,,
907,,,,,,,,,,,,
908,,,,,,,,,,,,
909,,,,,,,,,,,,
910,,,,,,,,,,,,
